Price,Close,High,Low,Open,Volume
Ticker,META,META,META,META,META
Date,,,,,
2016-07-05,113.50030517578125,113.50030517578125,112.27784550703133,113.24190362885932,14207000
2016-07-06,115.98497772216797,116.07443023642216,112.27783562554673,112.66544549446638,24337600
2016-07-07,115.14019012451172,116.25333065865024,114.65319445823529,115.91540988219856,16630200
2016-07-08,116.52168273925781,116.78009187420662,115.14019970582602,115.71664793661559,18142600
2016-07-11,117.14781188964844,117.97272070732812,116.7800761541328,116.98878857180952,17711600
2016-07-12,117.20744323730469,117.99260381751733,116.84964835055843,117.90315130450615,15217700
2016-07-13,116.06449890136719,117.67457604613777,115.96511310832825,117.66463519203889,16207700
2016-07-14,116.57137298583984,116.91922704290162,115.98498393309309,116.78008542007692,14579700
2016-07-15,116.14400482177734,117.55530272798573,115.86572158197846,117.01861037295235,16646000
2016-07-18,118.63861846923828,118.87714585751047,116.17381018159585,116.60117585951838,20868400
2016-07-19,119.87104034423828,120.10956777533738,117.93299074908872,118.2609631233561,21541300
2016-07-20,121.17301177978516,121.45129504661273,119.82134369863667,120.50711859378342,20046500
2016-07-21,119.87104034423828,121.35190920367693,119.51324540626446,121.17301173469002,17801700
2016-07-22,120.25863647460938,120.26857732803838,118.57898862963188,119.16537765955191,18422400
2016-07-25,120.88477325439453,121.10342653303414,117.05836362614951,120.64624585162832,18487400
2016-07-26,120.47728729248047,121.32207783309768,120.01016576530468,121.25250702581508,17612000
2016-07-27,122.58429718017578,124.23413006713916,120.76551527880652,121.66993580271753,52654200
2016-07-28,124.234130859375,127.54372992530465,122.8725220554024,126.73868760113417,78955800
2016-07-29,123.18063354492188,125.0689863550735,122.95203939721776,123.88628253087379,35058800
2016-08-01,123.5483627319336,123.8167127154291,122.1072497688577,123.09118201549124,25006900
2016-08-02,122.33582305908203,124.03535254970971,121.32207594266735,123.29988107544013,23968400
2016-08-03,121.75939178466797,123.16074886873075,121.56061262131348,122.33583240177158,18525300
2016-08-04,123.59806060791016,124.02542634866033,121.75939687031986,122.18676261107004,21066000
2016-08-05,124.38321685791016,125.06898412348659,123.85646534136241,124.21426025498914,20184000
2016-08-08,124.49254608154297,124.68137681351037,123.78689709356487,124.4826052274447,15233900
2016-08-09,124.29375457763672,125.31744255131679,123.76700310245371,124.5720378035712,19621000
2016-08-10,124.11486053466797,124.71119041531868,123.77694734610536,124.30369883571733,10670100
2016-08-11,124.13475036621094,124.61180520277604,123.98566788629063,124.43290774340166,11729500
2016-08-12,124.11486053466797,124.234128027328,123.4191524507747,123.93596308700265,12159000
2016-08-15,123.14087677001953,124.15462398053462,122.94209760339412,124.14469070919075,19295100
2016-08-16,122.54454803466797,123.16074446239676,122.02772981108632,122.74331960826123,14222400
2016-08-17,123.60799407958984,123.61792735059187,122.09730279582313,122.90234512331511,13794200
2016-08-18,123.15081787109375,123.4986719350738,122.8824678912735,123.25020366328093,12400800
2016-08-19,122.8029556274414,123.39928554296509,122.52467237761027,122.84271146065298,11688300
2016-08-22,123.38935089111328,124.06518492438076,122.35572192360712,122.57437522593635,14386400
2016-08-23,123.60799407958984,124.3235763068666,123.4887265837189,123.74713570011446,13309500
2016-08-24,122.72344970703125,123.9260352087468,122.33583223468186,123.70738192068038,12243700
2016-08-25,123.13092803955078,123.60799042628506,122.34576744256796,122.36564914928366,10730800
2016-08-26,124.19436645507812,124.42296057644651,123.1508043774809,123.2899459878272,17504800
2016-08-29,125.76469421386719,125.95353251614677,123.5881098502007,123.5881098502007,15925900
2016-08-30,125.0689926147461,125.82433832620157,124.38322530261114,125.82433832620157,17804300
2016-08-31,125.34727478027344,125.4466605711099,124.33351999885215,124.83045653568422,14200600
2016-09-01,125.39695739746094,125.85413807777806,124.83045007808435,125.60566982221553,13536100
2016-09-02,125.73487854003906,126.08273258232599,125.22800117404988,126.07279172893223,12118800
2016-09-06,128.93515014648438,129.14387016557004,125.69512937211863,125.89390095463376,26278400
2016-09-07,130.24705505371094,131.17134963151562,129.15378872644933,129.24323365359857,27990800
2016-09-08,129.4718475341797,130.27688228485005,129.01465925468946,130.1178589558709,15676600
2016-09-09,126.3212661743164,129.1538029183601,126.3212661743164,128.91528308641932,27100700
2016-09-12,127.90154266357422,127.9711059005999,124.97955307186724,125.18826553089622,21252800
2016-09-13,126.43058776855469,127.56361000356132,125.8839621493435,127.24556335327911,18016200
2016-09-14,126.98716735839844,128.01086305877567,126.1125617277284,126.1125617277284,15691100
2016-09-15,127.5636215209961,128.3090263639346,126.88777991077566,127.19588573539237,15077200
2016-09-16,128.2792205810547,128.38853207383497,127.41454058884426,127.41454058884426,24119200
2016-09-19,127.86177825927734,129.14388315122233,127.47416832654307,129.11406816911207,14958800
2016-09-20,127.85183715820312,128.37858869696413,127.24557395024988,127.86177042986456,11083800
2016-09-21,129.14385986328125,129.2134230872274,127.60335368240648,128.3388251608708,14068300
2016-09-22,129.2830047607422,129.92901616011764,128.7661865420625,129.7004296109185,15538300
2016-09-23,127.17599487304688,127.81208060260984,126.52004260145172,126.77844413556363,28326300
2016-09-26,126.52997589111328,127.37477405188326,126.02310609383085,126.58961343046681,15064900
2016-09-27,127.90154266357422,128.21957419696543,126.64926032674971,126.82815780343893,15637100
2016-09-28,128.43820190429688,128.6767368807596,127.6132855049905,128.41833536356535,12047600
2016-09-29,127.3051986694336,128.49784332761362,126.76851388110744,128.38851668263797,14532200
2016-09-30,127.48410034179688,127.80213183177146,126.66911716163217,127.24556535034152,18402900
2016-10-03,127.98103332519531,128.29906480636933,127.01697528036044,127.59342345311832,13156900
2016-10-04,127.40458679199219,128.48790476054606,126.76850865615974,128.37857812007647,14307500
2016-10-05,127.682861328125,128.01084122718484,127.04678323563567,127.4642080620851,12386800
2016-10-06,127.95122528076172,128.26925677916822,127.29526541084259,127.64311188830906,11682700
2016-10-07,128.19967651367188,128.45807801962007,127.54371673092153,128.24935802863672,12804400
2016-10-10,129.44203186035156,129.89920497208672,128.40839539283866,128.88545021191425,15138700
2016-10-11,128.09036254882812,129.8395736438273,127.44433597213194,129.4320820567988,17537900
2016-10-12,128.25933837890625,128.86560163225187,127.67295683567235,128.2195749586828,11073000
